id,full_name,email,phone,area_id,manager_id,status,hire_date,daily_target_visits
1776abc0-799e-5972-8102-1976ed737c77,Teresa Villanueva,dsp1@gcash.com,+63 946 325 8359,28ac47f7-f1ce-5fc3-966a-5dcdd795fc26,c1e2d154-2207-57e6-a95e-d4b155615418,inactive,2026-07-22,12
dced9f60-36c3-51a3-a4cd-895dfd671dec,Lorna Santos,dsp2@gcash.com,+63 926 814 7924,a87e363d-04c2-5fe0-abdc-8924fa7bf1a1,3c7edfa7-3831-5c37-a9bf-e13291a0e6bf,active,2025-07-13,12
60ccfd44-0502-5fa0-8d27-9cc265f1db31,Miguel Mendoza,dsp3@gcash.com,+63 935 204 2519,dd92fc02-23e6-54d1-8ade-4dc72b56055b,9a96993f-b2a2-5c29-985b-89ed69f91003,active,2025-03-19,9
492935f3-f9ee-5d56-b64a-6da8931cf13b,Reynaldo Aquino,dsp4@gcash.com,+63 975 370 1711,be3107b0-7566-55ce-95b2-c6139ff216c6,f6be5ef0-2de1-51a8-8924-7e4d8999e9e5,active,2026-06-17,9
7300f67a-bf30-5300-8ff9-4c932609ad7c,Erlinda Rivera,dsp5@gcash.com,+63 919 665 5803,df62ff79-4b9c-5a75-8bd4-eb2c86e9c598,69648964-af15-5708-b665-8174ca69bac4,inactive,2024-12-01,13
c928179a-f72b-50f2-bd6c-8efebcd2d268,Elena Mendoza,dsp6@gcash.com,+63 919 146 4733,28ac47f7-f1ce-5fc3-966a-5dcdd795fc26,c1e2d154-2207-57e6-a95e-d4b155615418,active,2025-04-30,9
25c743f6-6b99-5904-8a4a-4b29b700d9e7,Corazon Torres,dsp7@gcash.com,+63 920 489 5554,a87e363d-04c2-5fe0-abdc-8924fa7bf1a1,3c7edfa7-3831-5c37-a9bf-e13291a0e6bf,active,2025-11-01,13
7ff0bab0-c69b-54d0-86a2-99ea2da3e58c,Roberto Aquino,dsp8@gcash.com,+63 936 314 5374,dd92fc02-23e6-54d1-8ade-4dc72b56055b,9a96993f-b2a2-5c29-985b-89ed69f91003,active,2025-03-23,10
b2f279e6-14b4-5a5c-aadc-0b5ab2dd4e7a,Rosa Torres,dsp9@gcash.com,+63 926 573 7216,be3107b0-7566-55ce-95b2-c6139ff216c6,f6be5ef0-2de1-51a8-8924-7e4d8999e9e5,active,2025-09-10,11
c529bf79-90d3-5602-9399-40738335c242,Gloria Ramos,dsp10@gcash.com,+63 918 334 1525,df62ff79-4b9c-5a75-8bd4-eb2c86e9c598,69648964-af15-5708-b665-8174ca69bac4,active,2026-03-16,14
7c9704d9-8185-57b1-bf6a-de200c4e2109,Ricardo Cruz,dsp11@gcash.com,+63 927 680 6155,28ac47f7-f1ce-5fc3-966a-5dcdd795fc26,c1e2d154-2207-57e6-a95e-d4b155615418,active,2026-02-25,15
bcf1d1e0-afa3-56df-89af-e879b7a6a0d2,Danilo Lopez,dsp12@gcash.com,+63 921 371 3287,a87e363d-04c2-5fe0-abdc-8924fa7bf1a1,3c7edfa7-3831-5c37-a9bf-e13291a0e6bf,active,2025-06-11,12
15e1ebab-b0bf-514c-8405-61b9a3993057,Josefina Castro,dsp13@gcash.com,+63 946 697 7543,dd92fc02-23e6-54d1-8ade-4dc72b56055b,9a96993f-b2a2-5c29-985b-89ed69f91003,active,2025-02-08,11
229ec319-00c3-5250-afbc-759d6132ee64,Miguel Hernandez,dsp14@gcash.com,+63 955 193 1771,be3107b0-7566-55ce-95b2-c6139ff216c6,f6be5ef0-2de1-51a8-8924-7e4d8999e9e5,active,2024-11-26,10
e06691ef-a8bb-5f87-8c9e-c3e0b896f324,Luz Garcia,dsp15@gcash.com,+63 946 710 2040,df62ff79-4b9c-5a75-8bd4-eb2c86e9c598,69648964-af15-5708-b665-8174ca69bac4,active,2026-06-20,14
fbcd212e-451d-5600-a271-8fec64b3a9b9,Carmen Lopez,dsp16@gcash.com,+63 956 357 1188,28ac47f7-f1ce-5fc3-966a-5dcdd795fc26,c1e2d154-2207-57e6-a95e-d4b155615418,active,2024-12-09,12
7a052b5f-cf18-5b63-91b4-4c385d96d71f,Rosario Ramos,dsp17@gcash.com,+63 920 400 8123,a87e363d-04c2-5fe0-abdc-8924fa7bf1a1,3c7edfa7-3831-5c37-a9bf-e13291a0e6bf,active,2025-05-19,15
b21aa617-83df-5e76-b78c-67561698ba56,Juan Tomas,dsp18@gcash.com,+63 956 880 3927,dd92fc02-23e6-54d1-8ade-4dc72b56055b,9a96993f-b2a2-5c29-985b-89ed69f91003,active,2025-10-14,9
214dee86-b858-5e86-aad7-d05cc5d8a623,Corazon Andrade,dsp19@gcash.com,+63 977 619 4258,be3107b0-7566-55ce-95b2-c6139ff216c6,f6be5ef0-2de1-51a8-8924-7e4d8999e9e5,active,2025-10-12,13
24c3eae6-21de-5fa7-ad75-775edd1167e0,Rosario Garcia,dsp20@gcash.com,+63 961 897 9689,df62ff79-4b9c-5a75-8bd4-eb2c86e9c598,69648964-af15-5708-b665-8174ca69bac4,active,2025-08-31,13
48787cb4-04a7-5b80-8148-23b777165705,Maria Santos,dsp21@gcash.com,+63 920 471 6038,28ac47f7-f1ce-5fc3-966a-5dcdd795fc26,c1e2d154-2207-57e6-a95e-d4b155615418,active,2026-06-16,8
1fab32d7-3f51-5470-b5b9-ea72005a2e68,Eduardo Castro,dsp22@gcash.com,+63 919 187 8962,a87e363d-04c2-5fe0-abdc-8924fa7bf1a1,3c7edfa7-3831-5c37-a9bf-e13291a0e6bf,active,2025-12-03,10
9cea72a7-c63b-5718-8f89-cff81ccad510,Miguel Gonzales,dsp23@gcash.com,+63 961 269 5342,dd92fc02-23e6-54d1-8ade-4dc72b56055b,9a96993f-b2a2-5c29-985b-89ed69f91003,active,2024-11-14,14
1c629fb9-bb65-504f-8efa-b901acda8a1d,Antonio Villanueva,dsp24@gcash.com,+63 927 830 6107,be3107b0-7566-55ce-95b2-c6139ff216c6,f6be5ef0-2de1-51a8-8924-7e4d8999e9e5,active,2025-09-29,13
dfba0cf4-e584-5bcd-8343-0655db792844,Rolando Hernandez,dsp25@gcash.com,+63 950 223 5061,df62ff79-4b9c-5a75-8bd4-eb2c86e9c598,69648964-af15-5708-b665-8174ca69bac4,active,2025-01-19,9
b42559c6-56fd-58f1-a9b0-df16e2b74e54,Ramon Santos,dsp26@gcash.com,+63 966 667 4770,28ac47f7-f1ce-5fc3-966a-5dcdd795fc26,c1e2d154-2207-57e6-a95e-d4b155615418,inactive,2026-02-06,11
